asset_id,car_id,view_id,view_label,lighting,brand,model,body_type,color_name,r,g,b,caption,image_path
car_008_1,car_008,1,front_left,daylight,Nissan,Qashqai,crossover,blue,55,116,190,"blue Nissan Qashqai crossover, front-left walkaround view in daylight",data/demo_catalog/images/car_008_1.png
car_008_2,car_008,2,side_profile,overcast,Nissan,Qashqai,crossover,blue,55,116,190,"Nissan Qashqai in blue, crossover, side profile under soft overcast light",data/demo_catalog/images/car_008_2.png
car_008_3,car_008,3,rear_right,evening,Nissan,Qashqai,crossover,blue,55,116,190,rear-right angle near sunset of a blue crossover Nissan Qashqai,data/demo_catalog/images/car_008_3.png
car_009_1,car_009,1,front_left,daylight,Volkswagen,Tiguan,suv,white,235,235,235,"white Volkswagen Tiguan suv, front-left walkaround view in daylight",data/demo_catalog/images/car_009_1.png
car_009_2,car_009,2,side_profile,overcast,Volkswagen,Tiguan,suv,white,235,235,235,"Volkswagen Tiguan in white, suv, side profile under soft overcast light",data/demo_catalog/images/car_009_2.png
car_009_3,car_009,3,rear_right,evening,Volkswagen,Tiguan,suv,white,235,235,235,rear-right angle near sunset of a white suv Volkswagen Tiguan,data/demo_catalog/images/car_009_3.png
car_010_1,car_010,1,front_left,daylight,Mercedes,E-Class,sedan,black,22,22,22,"black Mercedes E-Class sedan, front-left walkaround view in daylight",data/demo_catalog/images/car_010_1.png
car_010_2,car_010,2,side_profile,overcast,Mercedes,E-Class,sedan,black,22,22,22,"Mercedes E-Class in black, sedan, side profile under soft overcast light",data/demo_catalog/images/car_010_2.png
car_010_3,car_010,3,rear_right,evening,Mercedes,E-Class,sedan,black,22,22,22,rear-right angle near sunset of a black sedan Mercedes E-Class,data/demo_catalog/images/car_010_3.png
car_011_1,car_011,1,front_left,daylight,Renault,Duster,crossover,orange,205,108,35,"orange Renault Duster crossover, front-left walkaround view in daylight",data/demo_catalog/images/car_011_1.png
car_011_2,car_011,2,side_profile,overcast,Renault,Duster,crossover,orange,205,108,35,"Renault Duster in orange, crossover, side profile under soft overcast light",data/demo_catalog/images/car_011_2.png
car_011_3,car_011,3,rear_right,evening,Renault,Duster,crossover,orange,205,108,35,rear-right angle near sunset of a orange crossover Renault Duster,data/demo_catalog/images/car_011_3.png
car_012_1,car_012,1,front_left,daylight,Honda,Civic,sedan,red,195,42,60,"red Honda Civic sedan, front-left walkaround view in daylight",data/demo_catalog/images/car_012_1.png
car_012_2,car_012,2,side_profile,overcast,Honda,Civic,sedan,red,195,42,60,"Honda Civic in red, sedan, side profile under soft overcast light",data/demo_catalog/images/car_012_2.png
car_012_3,car_012,3,rear_right,evening,Honda,Civic,sedan,red,195,42,60,rear-right angle near sunset of a red sedan Honda Civic,data/demo_catalog/images/car_012_3.png
